Año,Comunidad Autónoma,Reciclado procedente de recogida separada,Materiales recuperados-TMB mezclados,Compostado/Digestion anaerobia de FORS,Compostado/Digestión anaerobia,Incinerado,Vertido de rechazos,Vertido sin tratamiento previo,Total
2014,CASTILLA - LA MANCHA,84847.0,29143.0,0.0,175318.0,0.0,399668.0,176256.0,865233.0
2014,CASTILLA Y LEÓN,141076.0,34830.0,0.0,210626.0,0.0,684694.0,3020.0,1074246.0
2014,CATALUÑA,696021.0,103156.0,363546.0,307005.0,708336.0,669765.0,796701.0,3644530.0
2014,EXTREMADURA,72289.0,15206.0,0.0,104392.0,0.0,269702.0,22287.0,483876.0
2014,GALICIA,118237.0,27842.0,8830.0,57645.0,546732.0,153728.0,189411.0,1102425.0
2014,LA RIOJA ,24629.0,5225.0,0.0,39857.0,0.0,61255.0,0.0,130966.0
2014,COMUNIDAD DE MADRID,309128.0,45437.0,13232.0,43405.0,349946.0,622428.0,1000357.0,2383933.0
2014,REGIÓN DE MURCIA,61825.0,13132.0,0.0,98669.0,0.0,485697.0,10669.0,669991.0
2014,COMUNIDAD FORAL DE NAVARRA,67348.0,751.0,16989.0,32511.0,0.0,46372.0,96698.0,260669.0
2014,PAÍS VASCO,272376.0,22289.0,6468.0,27361.0,237992.0,81245.0,208694.0,856425.0
2014,COMUNITAT VALENCIANA,252584.0,112072.0,0.0,676626.0,0.0,1114264.0,616.0,2156162.0
2014,CEUTA,3245.0,0.0,0.0,0.0,0.0,0.0,0.0,3245.0
2014,MELILLA,2718.0,0.0,0.0,0.0,41279.0,0.0,0.0,43997.0
2014,TOTAL NACIONAL,2873913.0,595446.0,489154.0,2565033.0,2459046.0,7520360.0,4334087.0,20837040.0
2013,ANDALUCÍA,374412.0,151101.0,37697.5,639915.5,0.0,2289311.0,507198.5,3999635.5
2013,ARAGÓN,73755.5,12950.5,0.0,65445.0,0.0,170154.5,212087.5,534392.5
2013,PRINCIPADO DE ASTURIAS,130253.5,0.0,14649.5,0.0,0.0,4331.0,387883.0,537117.0
2013,ILLES BALEARS ,115697.0,228.5,24979.0,24942.0,494795.5,20998.5,120540.5,802181.0
2013,CANARIAS,112319.0,27429.0,2019.5,69300.0,0.0,476847.0,527601.0,1215515.5
2013,CANTABRIA,34366.5,13804.5,0.0,50442.0,119159.5,40177.0,18823.5,276773.0
2013,CASTILLA - LA MANCHA,90131.0,33558.5,0.0,176221.5,0.0,414254.5,169029.5,883195.5
2013,CASTILLA Y LEÓN,148177.0,34199.0,0.0,206420.5,0.0,685849.0,2140.0,1076785.5
2013,CATALUÑA,753545.0,122342.0,351065.0,428507.0,673419.0,587483.5,686836.5,3603197.5
2013,EXTREMADURA,72934.0,15117.5,0.0,107601.5,0.0,275248.0,11143.5,482044.5
2013,GALICIA,124728.5,28179.0,8466.5,56316.0,539614.5,152874.5,204089.0,1114267.5
2013,LA RIOJA ,27077.5,5342.0,0.0,37586.0,0.0,64299.0,0.0,134304.5
2013,COMUNIDAD DE MADRID,319314.5,44861.0,17690.0,34376.0,398939.0,582016.5,1036101.5,2433298.5
2013,REGIÓN DE MURCIA,69800.5,17241.5,1751.5,115894.5,862.5,471407.0,11464.5,688422.0
2013,COMUNIDAD FORAL DE NAVARRA,68961.0,888.0,30585.0,31559.5,0.0,49169.0,91729.5,272892.0
2013,PAÍS VASCO,285926.0,16878.0,10323.0,40974.0,249670.0,87493.5,220660.0,911924.5
2013,COMUNITAT VALENCIANA,265221.5,109316.0,0.0,617432.5,4958.0,1176624.0,308.0,2173860.0
2013,CEUTA,3257.5,0.0,0.0,0.0,0.0,0.0,0.0,3257.5
2013,MELILLA,3758.0,0.0,0.0,0.0,42618.5,0.0,0.0,46376.5
2013,TOTAL NACIONAL,3073635.5,633436.0,499226.5,2702933.5,2524036.5,7548537.5,4207636.0,21189440.5
2012,ANDALUCÍA,357865.5,144930.5,37219.75,620111.75,0.0,2314553.5,479534.75,3954215.75
2012,ARAGÓN,71837.25,14039.25,0.0,66158.0,0.0,165098.75,211552.75,528685.25
2012,PRINCIPADO DE ASTURIAS,122629.25,0.0,15969.75,0.0,0.0,4353.0,383264.5,526216.0
2012,ILLES BALEARS ,110635.5,213.25,24697.5,21751.0,474395.75,23703.75,114901.75,770298.5
2012,CANARIAS,106048.0,22568.0,1830.75,62863.5,0.0,420741.5,594563.5,1208615.25
2012,CANTABRIA,35180.75,14187.25,0.0,49946.5,119962.75,38229.5,17939.75,275446.5
