Comunidad Autónoma,Año,PIB,Poblacion,PIB per capita,Recoleccion-domésticos y vias,Recoleccion-voluminosos,Recoleccion-metálicos,Recoleccion-vidrio,Recoleccion-papel y carton,Recoleccion-plasticos,Recoleccion-madera,Recoleccion-textiles,Recoleccion-eq. electricos,Recoleccion-pilas,Recoleccion-animales,Recoleccion-Envases mixtos,lodos,Recoleccion-construccion,Recoleccion-otros,TOTAL RESIDUOS MEZCLADOS,TOTAL RESIDUOS DE RECOGIDA SEPARADA,TOTAL RESIDUOS,Reciclado procedente de recogida separada,Materiales recuperados-TMB mezclados,Compostado/Digestion anaerobia de FORS,Compostado/Digestión anaerobia,Incinerado,Vertido de rechazos,Vertido sin tratamiento previo,Total,Biological treatment of waste - Anaerobic digestion at biogas facilities,Biological treatment of waste - Composting,Biological treatment of waste - Solid waste disposal on land,Clinical waste incineration,Cremation,Domestic wastewater handling,Hazardous waste incineration,Industrial waste incineration,Industrial wastewater handling,Municipal waste incineration,Open burning of waste,Other waste (please specify in IIR),Other waste incineration (please specify in the IIR),Other wastewater handling,Sewage sludge incineration
CANARIAS,2013,39032454.0,2118679.0,18423.01,1052980.0,19188.0,253.0,29363.0,30624.0,1.0,718.0,10.0,819.0,21.0,41310.0,15880.0,0.0,8872.0,4782.0,1072168.0,132653.0,1204821.0,112319.0,27429.0,2019.5,69300.0,0.0,476847.0,527601.0,1215515.5,,,,,,,,,,,,,,,
CANARIAS,2011,40595330.0,2126769.0,19087.79,1151544.0,29880.0,1529.0,29040.0,34043.0,6878.0,4734.0,373.0,1908.0,28.0,78136.0,14770.0,7073.0,24592.0,4367.0,1181424.0,207471.0,1388895.0,109183.5,24998.5,1925.125,66081.75,0.0,448794.25,561082.25,1212065.38,,,,,,,,,,,,,,,
CANARIAS,2010,40811481.0,2118519.0,19264.16,1220612.0,30371.0,1953.0,27221.0,69027.0,7952.0,2601.0,141.0,1826.0,61.0,13089.0,19801.0,8258.0,25407.0,11662.0,1250983.0,188999.0,1439982.0,107615.75,23783.25,1877.9375,64472.62,0.0,434767.88,577822.875,1210340.31,,,,,,,,,,,,,,,
CANARIAS,2015,40566240.0,2100306.0,19314.44,1108156.0,36822.0,515.0,33225.0,31543.0,31.0,675.0,474.0,2779.0,814.0,21541.0,16990.0,0.0,9477.0,1053.0,1144978.0,119117.0,1264095.0,124861.0,37151.0,2397.0,82173.0,0.0,589058.0,393676.0,1229316.0,,,,,,,,,,,,,,,
CANARIAS,2018,45823321.0,2127685.0,21536.7,1128714.0,25440.0,2305.0,41243.0,40485.0,5.0,1649.0,142.0,5969.0,385.0,27922.0,22676.0,0.0,34114.0,138.0,1154154.0,177033.0,1331187.0,140174.0,58936.0,1248.0,176590.0,0.0,820742.0,113704.0,1311394.0,,,,,,,,,,,,,,,
CANARIAS,2014,39266705.0,2104815.0,18655.66,1090966.0,36599.0,520.0,31163.0,30659.0,31.0,681.0,460.0,2308.0,676.0,38799.0,16225.0,0.0,9568.0,1063.0,1127565.0,132153.0,1259718.0,99777.0,17707.0,1642.0,56427.0,0.0,364636.0,661526.0,1201715.0,,,,,,,,,,,,,,,
CANTABRIA,2012,12167280.0,593861.0,20488.43,246177.0,17002.0,444.0,10281.0,12048.0,2146.0,1275.0,230.0,624.0,97.0,3040.0,5082.0,0.0,21657.0,779.0,263179.0,57703.0,320882.0,35180.75,14187.25,0.0,49946.5,119962.75,38229.5,17939.75,275446.5,,,,,,,,,,,,,,,
CANTABRIA,2011,12622706.0,593121.0,21281.84,259307.0,14905.0,454.0,10432.0,13417.0,4530.0,4083.0,231.0,490.0,57.0,7170.0,5052.0,0.0,21573.0,262.0,274212.0,67751.0,341963.0,34773.62,13995.875,0.0,50194.25,119561.12,39203.25,18381.625,276109.75,,,,,,,,,,,,,,,
CANTABRIA,2010,12836685.0,592250.0,21674.44,259965.0,8153.0,1005.0,10547.0,13826.0,2804.0,3883.0,206.0,1214.0,74.0,14755.0,5046.0,0.0,33946.0,860.0,268118.0,88166.0,356284.0,34977.19,14091.5625,0.0,50070.38,119761.94,38716.38,18160.6875,275778.12,,,,,,,,,,,,,,,
CANTABRIA,2013,11864241.0,591888.0,20044.74,236156.0,17504.0,293.0,10386.0,10335.0,0.0,0.0,673.0,431.0,58.0,9301.0,5078.0,0.0,17138.0,589.0,253660.0,54282.0,307942.0,34366.5,13804.5,0.0,50442.0,119159.5,40177.0,18823.5,276773.0,,,,,,,,,,,,,,,
CANTABRIA,2018,13737756.0,580229.0,23676.44,246839.0,23336.0,484.0,11261.0,10381.0,0.0,1813.0,1401.0,913.0,46.0,4400.0,6288.0,0.0,21622.0,84.0,270175.0,58693.0,328868.0,38043.0,14533.0,0.0,31386.0,118759.0,67971.0,21733.0,292425.0,,,,,,,,,,,,,,,
CANTABRIA,2014,12057567.0,588656.0,20483.21,235816.0,19632.0,310.0,10237.0,9878.0,0.0,0.0,779.0,501.0,61.0,1418.0,5097.0,0.0,18740.0,90.0,255448.0,47111.0,302559.0,35995.0,14570.0,0.0,49451.0,120766.0,36282.0,17056.0,274120.0,,,,,,,,,,,,,,,
CANTABRIA,2015,12325933.0,585179.0,21063.53,240609.0,19841.0,307.0,10999.0,9640.0,0.0,0.0,782.0,603.0,73.0,4034.0,5277.0,0.0,18562.0,89.0,260450.0,50366.0,310816.0,32738.0,13039.0,0.0,51433.0,117553.0,44072.0,20591.0,279426.0,,,,,,,,,,,,,,,
CANTABRIA,2016,12736089.0,582206.0,21875.57,241085.0,23004.0,421.0,11212.0,5050.0,0.0,1536.0,1207.0,738.0,45.0,3079.0,5495.0,0.0,20053.0,2.0,264089.0,48838.0,312927.0,38.04,14.533,0.0,31.39,118.76,67971.0,21733.0,292425.0,,,,,,,,,,,,,,,
CANTABRIA,2017,13226038.0,580295.0,22791.92,240509.0,21135.0,418.0,10980.0,4053.0,0.0,1958.0,1312.0,843.0,41.0,3035.0,5748.0,0.0,20774.0,71.0,261644.0,49233.0,310877.0,30843.0,12499.0,0.0,54241.0,118263.0,43530.0,18114.0,277491.0,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2015,37113609.0,2059191.0,18023.39,822222.0,40640.0,354.0,20630.0,24356.0,307.0,1387.0,813.0,3757.0,264.0,0.0,18582.0,0.0,4709.0,738.0,862862.0,75897.0,938759.0,95415.0,37974.0,0.0,177125.0,0.0,428841.0,161803.0,901158.0,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2014,35353236.0,2078611.0,17008.11,770997.0,38474.0,358.0,20690.0,26218.0,309.0,1400.0,809.0,3121.0,219.0,0.0,17502.0,0.0,4754.0,745.0,809471.0,76125.0,885596.0,84847.0,29143.0,0.0,175318.0,0.0,399668.0,176256.0,865233.0,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2010,38706827.0,2098373.0,18446.11,968613.0,31588.0,11221.0,20887.0,36202.0,8860.0,1113.0,224.0,1332.0,234.0,0.0,17258.0,83.0,31723.0,1525.0,1000201.0,130662.0,1130863.0,88149.5,31902.6875,0.0,175882.69,0.0,408784.56,171739.4375,876459.56,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2017,39891219.0,2031479.0,19636.54,802570.0,29996.0,399.0,21371.0,31374.0,11519.0,6475.0,1732.0,4856.0,51.0,3131.0,19696.0,0.0,4874.0,26.0,832566.0,105504.0,938070.0,104393.0,39527.0,0.0,221085.0,0.0,466050.0,88614.0,919669.0,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2013,36153041.0,2100998.0,17207.56,777284.0,29375.0,317.0,21040.0,26351.0,0.0,6615.0,926.0,2957.0,2760.0,432.0,17679.0,0.0,4121.0,13877.0,806659.0,97075.0,903734.0,90131.0,33558.5,0.0,176221.5,0.0,414254.5,169029.5,883195.5,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2011,38258606.0,2115334.0,18086.32,1010610.0,11306.0,2787.0,21268.0,30697.0,9971.0,4217.0,142.0,1496.0,140.0,0.0,17802.0,145.0,7298.0,1103.0,1021916.0,97066.0,1118982.0,88810.0,32454.625,0.0,175995.62,0.0,410607.88,170836.125,878704.88,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2012,36890198.0,2121888.0,17385.55,826883.0,13005.0,385.0,21061.0,28472.0,4911.0,783.0,634.0,1664.0,51.0,0.0,17595.0,7.0,4835.0,73.0,839888.0,80471.0,920359.0,87489.0,31350.75,0.0,175769.75,0.0,406961.25,172642.75,874214.25,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2018,41521223.0,2026807.0,20486.03,849572.0,9959.0,531.0,21350.0,28067.0,12199.0,5579.0,2972.0,2604.0,86.0,3967.0,22352.0,0.0,8013.0,27.0,859531.0,107747.0,967278.0,92194.0,34122.0,0.0,245494.0,0.0,523249.0,62220.0,957279.0,,,,,,,,,,,,,,,
CASTILLA - LA MANCHA,2016,38315029.0,2041631.0,18766.87,794580.0,86875.0,290.0,20555.0,26665.0,9947.0,4535.0,1901.0,1887.0,87.0,1331.0,18780.0,0.0,3439.0,28.0,881455.0,89445.0,970900.0,92.19,34.122,0.0,245.49,0.0,523249.0,6222.0,957279.0,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2014,51539425.0,2494790.0,20658.82,916318.0,13139.0,1005.0,40857.0,43432.0,325.0,1629.0,504.0,7910.0,182.0,6197.0,20882.0,0.0,11102.0,1991.0,929457.0,136016.0,1065473.0,141076.0,34830.0,0.0,210626.0,0.0,684694.0,3020.0,1074246.0,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2013,51504174.0,2519875.0,20439.18,838782.0,14062.0,314.0,40280.0,45036.0,175.0,891.0,466.0,918.0,218.0,6993.0,18008.0,0.0,7912.0,44822.0,852844.0,166033.0,1018877.0,148177.0,34199.0,0.0,206420.5,0.0,685849.0,2140.0,1076785.5,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2015,53238351.0,2472052.0,21536.1,918192.0,13041.0,996.0,40826.0,43442.0,322.0,1613.0,530.0,9521.0,219.0,4808.0,21066.0,0.0,10996.0,1972.0,931233.0,136311.0,1067544.0,155278.0,33568.0,0.0,202215.0,0.0,687004.0,1260.0,1079325.0,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2016,54767172.0,2447519.0,22376.61,906336.0,11829.0,926.0,44175.0,44676.0,858.0,1263.0,1371.0,7065.0,342.0,5235.0,22562.0,0.0,18309.0,1.0,918165.0,146783.0,1064948.0,151.64,32.816,233.0,180.47,0.0,712931.0,9519.0,1087606.0,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2012,52868471.0,2546078.0,20764.67,923318.0,12644.0,372.0,40774.0,49338.0,8357.0,764.0,34.0,1565.0,151.0,6701.0,20915.0,5314.0,64644.0,282.0,935962.0,199211.0,1135173.0,144626.5,34514.5,0.0,208523.25,0.0,685271.5,2580.0,1075515.75,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2010,54970431.0,2559515.0,21476.89,887984.0,33977.0,1108.0,42714.0,56725.0,7868.0,2052.0,56.0,4161.0,344.0,8652.0,19894.0,6098.0,108792.0,1789.0,921961.0,260253.0,1182214.0,145514.12,34435.625,0.0,207997.56,0.0,685415.88,2470.0,1075833.19,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2018,58477225.0,2409164.0,24272.83,915396.0,17151.0,816.0,49557.0,43700.0,940.0,2941.0,2547.0,4897.0,234.0,6472.0,26313.0,0.0,14229.0,371.0,932547.0,153017.0,1085564.0,151641.0,32816.0,233000.0,180466.0,0.0,712931.0,9519.0,1087606.0,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2011,54575008.0,2558463.0,21331.17,973608.0,23539.0,1378.0,41676.0,55753.0,7349.0,297.0,78.0,1334.0,173.0,4296.0,20985.0,4757.0,113127.0,587.0,997147.0,251790.0,1248937.0,146401.75,34356.75,0.0,207471.88,0.0,685560.25,2360.0,1076150.62,,,,,,,,,,,,,,,
CASTILLA Y LEÓN,2017,56051831.0,2425801.0,23106.52,898486.0,28717.0,596.0,48353.0,45179.0,447.0,3014.0,1573.0,2854.0,178.0,4204.0,23634.0,0.0,17755.0,455.0,927203.0,148242.0,1075445.0,160944.0,34861.0,0.0,194212.0,0.0,686829.0,72.0,1076917.0,,,,,,,,,,,,,,,
CATALUÑA,2013,192006545.0,7553650.0,25419.04,2495715.0,86516.0,4423.0,154732.0,262428.0,1975.0,14566.0,2746.0,8254.0,367.0,428508.0,124407.0,0.0,45725.0,3109.0,2582231.0,1051240.0,3633471.0,753545.0,122342.0,351065.0,428507.0,673419.0,587483.5,686836.5,3603197.5,,,,,,,,,,,,,,,
CATALUÑA,2011,198906023.0,7539618.0,26381.45,2570746.0,55438.0,3363.0,180729.0,408518.0,19847.0,30885.0,967.0,2801.0,137.0,462395.0,127713.0,6012.0,56681.0,623.0,2626184.0,1300671.0,3926855.0,739164.0,117545.5,354185.25,398131.5,682148.25,608053.88,714302.625,3613530.62,,,,,,,,,,,,,,,
CATALUÑA,2018,229345722.0,7600065.0,30176.81,2216496.0,117245.0,7293.0,168197.0,224596.0,2086.0,20624.0,8361.0,5659.0,374.0,472450.0,158751.0,0.0,68847.0,215.0,2333741.0,1137453.0,3471194.0,678878.0,206755.0,302759.0,541664.0,640652.0,653551.0,417697.0,3441955.0,,,,,,,,,,,,,,,
CATALUÑA,2014,195370105.0,7518903.0,25983.86,2402829.0,100042.0,4932.0,162447.0,271427.0,2993.0,35547.0,2676.0,5284.0,712.0,421902.0,120590.0,0.0,88563.0,19852.0,2502871.0,1136925.0,3639796.0,696021.0,103156.0,363546.0,307005.0,708336.0,669765.0,796701.0,3644530.0,,,,,,,,,,,,,,,
CATALUÑA,2015,204355232.0,7508106.0,27217.95,2283180.0,94157.0,4885.0,158878.0,298134.0,2964.0,35209.0,2693.0,6361.0,857.0,430929.0,129526.0,0.0,87722.0,19663.0,2377337.0,1177821.0,3555158.0,811069.0,141528.0,338584.0,550009.0,638502.0,505202.0,576972.0,3561865.0,,,,,,,,,,,,,,,
CATALUÑA,2017,221476488.0,7555830.0,29312.0,2350780.0,105836.0,7023.0,182760.0,296067.0,2175.0,71541.0,6822.0,6729.0,393.0,465230.0,141409.0,0.0,102248.0,355.0,2456616.0,1282752.0,3739368.0,877728.0,138251.0,336438.0,667771.0,668133.0,534832.0,486352.0,3709505.0,,,,,,,,,,,,,,,
CATALUÑA,2010,201705890.0,7512381.0,26849.8,2441711.0,77627.0,13187.0,186378.0,453952.0,30305.0,114476.0,314.0,3873.0,159.0,480290.0,124162.0,5807.0,43799.0,22793.0,2519338.0,1479495.0,3998833.0,731973.5,115147.25,355745.375,382943.75,686512.88,618339.06,728035.6875,3618697.19,,,,,,,,,,,,,,,
CATALUÑA,2012,193449278.0,7570908.0,25551.66,2334367.0,83700.0,6420.0,169191.0,318118.0,37467.0,44513.0,1896.0,4387.0,335.0,413249.0,129674.0,726.0,76102.0,10537.0,2418067.0,1212615.0,3630682.0,724783.0,112749.0,357305.5,367756.0,690877.5,628624.25,741768.75,3623863.75,,,,,,,,,,,,,,,
CATALUÑA,2016,212703912.0,7522596.0,28275.33,2276881.0,163348.0,4091.0,170831.0,273028.0,910.0,20015.0,2771.0,4581.0,257.0,449152.0,130925.0,0.0,42330.0,158.0,2440229.0,1099049.0,3539278.0,678.88,206.755,302.759,541.66,640.65,653551.0,417697.0,3441955.0,,,,,,,,,,,,,,,
CEUTA,2016,1636511.0,84519.0,19362.64,,,,,,,,,,,,,,,,,,,5.78,1.559,0.0,29.0,0.0,34255.0,0.0,41628.0,,,,,,,,,,,,,,,
CEUTA,2017,1659859.0,84959.0,19537.18,,,,,,,,,,,,,,,,,,,5658.0,0.0,0.0,0.0,0.0,0.0,0.0,5658.0,,,,,,,,,,,,,,,
CEUTA,2012,1525243.0,84018.0,18153.76,,,,,,,,,,,,,,,,,,,3251.25,0.0,0.0,0.0,0.0,0.0,0.0,3251.25,,,,,,,,,,,,,,,
CEUTA,2018,1720295.0,85144.0,20204.54,,,,,,,,,,,,,,,,,,,5785.0,1559.0,0.0,29000.0,0.0,34255.0,0.0,41628.0,,,,,,,,,,,,,,,
CEUTA,2014,1543087.0,84963.0,18161.87,,,,,,,,,,,,,,,,,,,3245.0,0.0,0.0,0.0,0.0,0.0,0.0,3245.0,,,,,,,,,,,,,,,
CEUTA,2010,1578805.0,80579.0,19593.26,,,,,,,,,,,,,,,,,,,3252.81,0.0,0.0,0.0,0.0,0.0,0.0,3252.81,,,,,,,,,,,,,,,
CEUTA,2015,1597390.0,84263.0,18957.19,,,,,,,,,,,,,,,,,,,3270.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.0,,,,,,,,,,,,,,,
CEUTA,2011,1575312.0,82376.0,19123.43,,,,,,,,,,,,,,,,,,,3254.38,0.0,0.0,0.0,0.0,0.0,0.0,3254.38,,,,,,,,,,,,,,,
CEUTA,2013,1551851.0,84180.0,18434.91,,,,,,,,,,,,,,,,,,,3257.5,0.0,0.0,0.0,0.0,0.0,0.0,3257.5,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2018,231133592.0,6578079.0,35136.94,1996857.0,27001.0,769.0,104923.0,121390.0,465.0,12049.0,1353.0,4070.0,104.0,95845.0,160183.0,0.0,17914.0,108.0,2023858.0,519173.0,2543031.0,396446.0,40744.0,17554.0,64301.0,480769.0,507402.0,1075348.0,2582564.0,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2010,197145571.0,6458684.0,30524.11,2108673.0,66879.0,4273.0,82497.0,160181.0,38083.0,5555.0,317.0,10253.0,293.0,52720.0,141179.0,0.0,16930.0,17379.0,2175552.0,529660.0,2705212.0,315494.56,45077.0,16018.25,37761.88,380566.62,597170.81,1022697.3125,2414786.44,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2013,192620202.0,6495551.0,29654.17,1897284.0,51035.0,3515.0,78640.0,94388.0,3143.0,10453.0,433.0,1415.0,153.0,62314.0,121537.0,0.0,14498.0,509.0,1948319.0,390998.0,2339317.0,319314.5,44861.0,17690.0,34376.0,398939.0,582016.5,1036101.5,2433298.5,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2017,222027547.0,6507184.0,34120.37,2159053.0,44938.0,663.0,89184.0,99641.0,2879.0,12263.0,1260.0,2512.0,147.0,54526.0,140324.0,0.0,15965.0,160.0,2203991.0,419524.0,2623515.0,358196.0,42946.0,17995.0,28537.0,655762.0,492036.0,1063770.0,2659241.0,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2011,198465261.0,6489680.0,30581.67,2062422.0,30682.0,10870.0,82662.0,136194.0,10171.0,9364.0,291.0,2157.0,287.0,51192.0,138062.0,509.0,37222.0,832.0,2093104.0,479813.0,2572917.0,316767.88,45005.0,16575.5,36633.25,386690.75,592119.38,1027165.375,2420957.12,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2014,194960214.0,6454440.0,30205.6,1977666.0,51997.0,1571.0,78005.0,89463.0,376.0,5647.0,651.0,8311.0,137.0,51197.0,122723.0,0.0,17240.0,0.0,2029663.0,375321.0,2404984.0,309128.0,45437.0,13232.0,43405.0,349946.0,622428.0,1000357.0,2383933.0,,,,,,,,,,,,,,,
COMUNIDAD DE MADRID,2012,195026853.0,6498560.0,30010.78,1947739.0,51972.0,11088.0,80620.0,114410.0,3630.0,8805.0,871.0,1951.0,320.0,49629.0,131049.0,0.0,13448.0,865.0,1999711.0,416686.0,2416397.0,314221.25,45149.0,15461.0,38890.5,374442.5,602222.25,1018229.25,2408615.75,,,,,,,,,,,,,,,
