Tipo de residuo;Comunidades autónomas;periodo;Total
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Andalucía;2010;155.836
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2018;24.205
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2017;3.391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2016;3.907
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2015;8.087
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2014;8.027
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2013;10.902
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2012;4.391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2011;4.693
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Aragón;2010;14.003
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2018;15.404
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2017;8.016
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2016;2.222
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2015;15.971
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2014;15.728
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2013;9.605
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2012;5.563
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2011;5.301
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Asturias, Principado de;2010;6.488
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2018;65.140
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2017;20.453
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2016;7.845
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2015;25.968
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2014;20.977
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2013;26.407
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2012;3.408
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2011;11.405
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Balears, Illes;2010;10.298
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2018;25.440
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2017;22.064
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2016;23.555
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2015;36.822
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2014;36.599
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2013;19.188
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2012;27.410
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2011;29.880
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Canarias;2010;30.371
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2018;23.336
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2017;21.135
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2016;23.004
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2015;19.841
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2014;19.632
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2013;17.504
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2012;17.002
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2011;14.905
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Cantabria;2010;8.153
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2018;17.151
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2017;28.717
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Castilla y León;2016;11.829
